Split,Record
All Games,8-1
at Home,5-0
on Road/Neutral Site,3-1
vs. Conference,5-1
vs. Non-Conference,3-0
vs. Ranked (AP),1-0
vs. Unranked (AP),7-1
vs. FBS (I-A),7-1
vs. FCS (I-AA),1-0
vs. FBS Winning,3-1
vs. FBS Non-Winning,4-0
vs. BCS AQ,6-1
vs. BCS non-AQ,1-0
vs. FBS Power 5,6-1
vs. FBS non-Power 5,1-0
in August/September,4-1
in October,3-0
in November,1-0
in December/January,0-0
