column_0,Boston College,Opponents
Scoring: Points/Game,28.2,23.8
Scoring: Games - Points,13 - 366,13 - 309
First Downs: Total,251,259
First Downs: Rushing - Passing - By Penalty,115 - 112 - 24,86 - 153 - 20
Rushing: Yards / Attempt,4.08,3.62
Rushing: Attempts - Yards - TD,529 - 2159 - 24,413 - 1494 - 16
Passing: Rating,148.45,127.32
Passing: Yards,2591,3195
Passing: Attempts - Completions - Interceptions - TD,330 - 207 - 7 - 24,441 - 271 - 17 - 17
Total Offense: Yards / Play,5.53,5.49
Total Offense: Plays - Yards,859 - 4750,854 - 4689
Punt Returns: Yards / Return,6.65,4.11
Punt Returns: Returns - Yards - TD,23 - 153 - 0,9 - 37 - 0
Kickoff Returns: Yards / Return,16.44,19.57
Kickoff Returns: Returns - Yards - TD,18 - 296 - 0,30 - 587 - 1
Punting: Yards / Punt,36.55,43.90
Punting: Punts - Yards,51 - 1864,49 - 2151
Interceptions: Returns - Yards - TD,17 - 310 - 3,7 - 72 - 0
Fumbles: Number - Lost,22 - 9,17 - 8
Penalties: Number - Yards,58 - 560,83 - 725
Time of Possession / Game,31:43.46,28:16.54
3rd Down Conversions: Conversion %,44.07%,36.36%
3rd Down Conversions: Attempts - Conversions,177 - 78,176 - 64
4th Down Conversions: Conversion %,44.44%,48.28%
4th Down Conversions: Attempts - Conversions,36 - 16,29 - 14
Red Zone: Success %,71.15%,86%
Red Zone: Attempts - Scores,52 - 37,50 - 43
Field Goals: Success %,60%,84%
Field Goals: Attempts - Made,5 - 3,25 - 21
PAT Kicking: Success %,95.9%,96.8%
PAT Kicking: Attempts - Made,49 - 47,31 - 30
2-Point Conversions: Success %,0%,75%
2-Point Conversions: Attempts - Made,2 - 0,4 - 3
