column_0,Alabama,Opponents
Scoring: Points/Game,37.1,11.9
Scoring: Games - Points,14 - 519,14 - 167
First Downs: Total,311,215
First Downs: Rushing - Passing - By Penalty,174 - 119 - 18,76 - 114 - 25
Rushing: Yards / Attempt,5.73,2.72
Rushing: Attempts - Yards - TD,612 - 3509 - 36,487 - 1326 - 9
Passing: Rating,155.99,96.79
Passing: Yards,2708,2320
Passing: Attempts - Completions - Interceptions - TD,332 - 204 - 3 - 28,426 - 229 - 19 - 8
Total Offense: Yards / Play,6.59,3.99
Total Offense: Plays - Yards,944 - 6217,913 - 3646
Punt Returns: Yards / Return,7.92,6.50
Punt Returns: Returns - Yards - TD,38 - 301 - 0,6 - 39 - 0
Kickoff Returns: Yards / Return,21.90,18.71
Kickoff Returns: Returns - Yards - TD,20 - 438 - 0,52 - 973 - 0
Punting: Yards / Punt,42.18,40.61
Punting: Punts - Yards,55 - 2320,94 - 3817
Interceptions: Returns - Yards - TD,19 - 279 - 2,3 - 97 - 1
Fumbles: Number - Lost,20 - 7,13 - 5
Penalties: Number - Yards,70 - 569,61 - 455
Time of Possession / Game,29:45.21,30:14.79
3rd Down Conversions: Conversion %,40.45%,34.58%
3rd Down Conversions: Attempts - Conversions,178 - 72,214 - 74
4th Down Conversions: Conversion %,83.33%,36.84%
4th Down Conversions: Attempts - Conversions,18 - 15,19 - 7
Red Zone: Success %,85.29%,75%
Red Zone: Attempts - Scores,68 - 58,32 - 24
Field Goals: Success %,67.9%,87.5%
Field Goals: Attempts - Made,28 - 19,16 - 14
PAT Kicking: Success %,100%,93.8%
PAT Kicking: Attempts - Made,64 - 64,16 - 15
2-Point Conversions: Success %,100%,0%
2-Point Conversions: Attempts - Made,1 - 1,2 - 0
