Split,Record
All Games,4-8
at Home,2-4
on Road/Neutral Site,2-4
vs. Conference,1-7
vs. Non-Conference,3-1
vs. Ranked (AP),0-1
vs. Unranked (AP),4-7
vs. FBS (I-A),3-8
vs. FCS (I-AA),1-0
vs. FBS Winning,0-6
vs. FBS Non-Winning,3-2
vs. BCS AQ,1-8
vs. BCS non-AQ,2-0
vs. FBS Power 5,0-1
vs. FBS non-Power 5,3-7
in August/September,2-2
in October,1-3
in November,1-3
in December/January,0-0
