column_0,Alabama,Opponents
Scoring: Points/Game,41.1,18.2
Scoring: Games - Points,13 - 534,13 - 236
First Downs: Total,310,241
First Downs: Rushing - Passing - By Penalty,121 - 164 - 25,93 - 114 - 34
Rushing: Yards / Attempt,5.57,3.63
Rushing: Attempts - Yards - TD,457 - 2544 - 26,467 - 1695 - 15
Passing: Rating,158.35,108.00
Passing: Yards,3660,2442
Passing: Attempts - Completions - Interceptions - TD,438 - 280 - 8 - 37,434 - 238 - 7 - 12
Total Offense: Yards / Play,6.93,4.59
Total Offense: Plays - Yards,895 - 6204,901 - 4137
Punt Returns: Yards / Return,16.93,6.42
Punt Returns: Returns - Yards - TD,27 - 457 - 2,12 - 77 - 0
Kickoff Returns: Yards / Return,17.71,17.44
Kickoff Returns: Returns - Yards - TD,21 - 372 - 0,34 - 593 - 0
Punting: Yards / Punt,41.36,41.00
Punting: Punts - Yards,45 - 1861,84 - 3444
Interceptions: Returns - Yards - TD,7 - 74 - 1,8 - 18 - 0
Fumbles: Number - Lost,18 - 8,12 - 7
Penalties: Number - Yards,103 - 893,87 - 663
Time of Possession / Game,29:57.31,30:02.69
3rd Down Conversions: Conversion %,45.68%,30.3%
3rd Down Conversions: Attempts - Conversions,162 - 74,198 - 60
4th Down Conversions: Conversion %,60%,38.46%
4th Down Conversions: Attempts - Conversions,15 - 9,26 - 10
Red Zone: Success %,89.06%,76.74%
Red Zone: Attempts - Scores,64 - 57,43 - 33
Field Goals: Success %,84.6%,84.2%
Field Goals: Attempts - Made,26 - 22,19 - 16
PAT Kicking: Success %,100%,95.7%
PAT Kicking: Attempts - Made,64 - 64,23 - 22
2-Point Conversions: Success %,33.33%,66.67%
2-Point Conversions: Attempts - Made,3 - 1,3 - 2
