column_0,Florida,Opponents
Scoring: Points/Game,33.2,15.5
Scoring: Games - Points,13 - 432,13 - 201
First Downs: Total,297,213
First Downs: Rushing - Passing - By Penalty,88 - 176 - 33,76 - 121 - 16
Rushing: Yards / Attempt,4.24,3.19
Rushing: Attempts - Yards - TD,398 - 1687 - 21,419 - 1336 - 9
Passing: Rating,157.25,120.48
Passing: Yards,3910,2627
Passing: Attempts - Completions - Interceptions - TD,467 - 317 - 10 - 33,390 - 235 - 16 - 14
Total Offense: Yards / Play,6.47,4.90
Total Offense: Plays - Yards,865 - 5597,809 - 3963
Punt Returns: Yards / Return,4.53,1.29
Punt Returns: Returns - Yards - TD,15 - 68 - 0,7 - 9 - 0
Kickoff Returns: Yards / Return,23.00,20.08
Kickoff Returns: Returns - Yards - TD,8 - 184 - 0,25 - 502 - 0
Punting: Yards / Punt,43.98,42.35
Punting: Punts - Yards,42 - 1847,72 - 3049
Interceptions: Returns - Yards - TD,16 - 160 - 0,10 - 98 - 0
Fumbles: Number - Lost,10 - 8,14 - 7
Penalties: Number - Yards,67 - 618,98 - 783
Time of Possession / Game,29:57.54,29:44.46
3rd Down Conversions: Conversion %,41.14%,36.41%
3rd Down Conversions: Attempts - Conversions,158 - 65,184 - 67
4th Down Conversions: Conversion %,61.54%,30%
4th Down Conversions: Attempts - Conversions,26 - 16,10 - 3
Red Zone: Success %,85.19%,65.71%
Red Zone: Attempts - Scores,54 - 46,35 - 23
Field Goals: Success %,89.5%,65%
Field Goals: Attempts - Made,19 - 17,20 - 13
PAT Kicking: Success %,98.1%,100%
PAT Kicking: Attempts - Made,52 - 51,22 - 22
2-Point Conversions: Success %,0%,100%
2-Point Conversions: Attempts - Made,3 - 0,1 - 1
