Split,Record
All Games,6-7
at Home,5-1
on Road/Neutral Site,1-6
vs. Conference,2-6
vs. Non-Conference,4-1
vs. Ranked (AP),0-3
vs. Unranked (AP),6-4
vs. FBS (I-A),5-7
vs. FCS (I-AA),1-0
vs. FBS Winning,1-5
vs. FBS Non-Winning,4-2
vs. BCS AQ,4-7
vs. BCS non-AQ,1-0
vs. FBS Power 5,3-6
vs. FBS non-Power 5,2-1
in August/September,3-1
in October,1-3
in November,2-2
in December/January,0-1
