Date,Opponent,Result,Game Time,Attendance
09/03/22,Rutgers,L 21-22,3:27,35048
09/10/22,@ Virginia Tech,L 10-27,3:06,65632
09/17/22,Maine,W 38-17,3:18,34325
09/24/22,@ 11 Florida State,L 14-44,3:11,79560
10/01/22,Louisville,W 34-33,3:38,38517
10/08/22,13 Clemson,L 3-31,3:09,42138
10/22/22,@ Wake Forest,L 15-43,3:15,28530
10/29/22,@ Connecticut,L 3-13,3:11,25527
11/04/22,Duke,L 31-38,3:25,34092
11/12/22,@ NC State,W 21-20,3:46,56919
11/19/22,@ 18 Notre Dame,L 0-44,3:00,73503
11/26/22,Syracuse,L 23-32,3:30,30113
