Split,Record
All Games,1-6
at Home,1-2
on Road/Neutral Site,0-4
vs. Conference,1-6
vs. Non-Conference,0-0
vs. Ranked (AP),0-0
vs. Unranked (AP),1-6
vs. FBS (I-A),1-6
vs. FCS (I-AA),0-0
vs. FBS Winning,0-3
vs. FBS Non-Winning,1-3
vs. BCS AQ,1-6
vs. BCS non-AQ,0-0
vs. FBS Power 5,0-0
vs. FBS non-Power 5,1-6
in August/September,0-0
in October,1-3
in November,0-3
in December/January,0-0
