Split,Record
All Games,12-2
at Home,6-1
on Road/Neutral Site,6-1
vs. Conference,9-0
vs. Non-Conference,3-2
vs. Ranked (AP),4-2
vs. Unranked (AP),8-0
vs. FBS (I-A),11-2
vs. FCS (I-AA),1-0
vs. FBS Winning,7-2
vs. FBS Non-Winning,4-0
vs. BCS AQ,10-2
vs. BCS non-AQ,1-0
vs. FBS Power 5,9-2
vs. FBS non-Power 5,2-0
in August/September,4-1
in October,3-0
in November,4-0
in December/January,1-1
