Split,Record
All Games,8-2
at Home,5-1
on Road/Neutral Site,3-1
vs. Conference,6-1
vs. Non-Conference,2-1
vs. Ranked (AP),4-1
vs. Unranked (AP),4-1
vs. FBS (I-A),8-2
vs. FCS (I-AA),0-0
vs. FBS Winning,5-1
vs. FBS Non-Winning,3-1
vs. BCS AQ,7-2
vs. BCS non-AQ,1-0
vs. FBS Power 5,7-2
vs. FBS non-Power 5,1-0
in August/September,3-1
in October,4-0
in November,1-1
in December/January,0-0
