column_0,Auburn,Opponents
Scoring: Points/Game,26.2,22.6
Scoring: Games - Points,13 - 340,13 - 294
First Downs: Total,241,223
First Downs: Rushing - Passing - By Penalty,131 - 88 - 22,107 - 105 - 11
Rushing: Yards / Attempt,4.79,4.35
Rushing: Attempts - Yards - TD,513 - 2457 - 22,463 - 2015 - 15
Passing: Rating,126.05,131.31
Passing: Yards,2109,2628
Passing: Attempts - Completions - Interceptions - TD,317 - 189 - 13 - 18,359 - 212 - 12 - 19
Total Offense: Yards / Play,5.50,5.65
Total Offense: Plays - Yards,830 - 4566,822 - 4643
Punt Returns: Yards / Return,10.00,5.29
Punt Returns: Returns - Yards - TD,25 - 250 - 1,14 - 74 - 0
Kickoff Returns: Yards / Return,21.45,22.41
Kickoff Returns: Returns - Yards - TD,33 - 708 - 0,17 - 381 - 0
Punting: Yards / Punt,44.59,40.90
Punting: Punts - Yards,61 - 2720,61 - 2495
Interceptions: Returns - Yards - TD,12 - 179 - 1,13 - 134 - 2
Fumbles: Number - Lost,16 - 7,16 - 6
Penalties: Number - Yards,71 - 570,91 - 778
Time of Possession / Game,29:08.62,30:51.31
3rd Down Conversions: Conversion %,32.93%,31.71%
3rd Down Conversions: Attempts - Conversions,164 - 54,164 - 52
4th Down Conversions: Conversion %,50%,55.56%
4th Down Conversions: Attempts - Conversions,26 - 13,27 - 15
Red Zone: Success %,83.33%,79.55%
Red Zone: Attempts - Scores,42 - 35,44 - 35
Field Goals: Success %,100%,70%
Field Goals: Attempts - Made,13 - 13,20 - 14
PAT Kicking: Success %,100%,97.1%
PAT Kicking: Attempts - Made,41 - 41,35 - 34
2-Point Conversions: Success %,50%,100%
2-Point Conversions: Attempts - Made,2 - 1,1 - 1
