Split,Record
All Games,8-5
at Home,6-2
on Road/Neutral Site,2-3
vs. Conference,5-3
vs. Non-Conference,3-2
vs. Ranked (AP),1-3
vs. Unranked (AP),7-2
vs. FBS (I-A),7-5
vs. FCS (I-AA),1-0
vs. FBS Winning,3-5
vs. FBS Non-Winning,4-0
vs. BCS AQ,5-5
vs. BCS non-AQ,2-0
vs. FBS Power 5,5-5
vs. FBS non-Power 5,2-0
in August/September,2-2
in October,4-0
in November,2-2
in December/January,0-1
