Split,Record
All Games,5-5
at Home,2-3
on Road/Neutral Site,3-2
vs. Conference,3-3
vs. Non-Conference,2-2
vs. Ranked (AP),0-2
vs. Unranked (AP),5-3
vs. FBS (I-A),4-5
vs. FCS (I-AA),1-0
vs. FBS Winning,0-5
vs. FBS Non-Winning,4-0
vs. BCS AQ,3-5
vs. BCS non-AQ,1-0
vs. FBS Power 5,0-2
vs. FBS non-Power 5,4-3
in August/September,2-2
in October,3-1
in November,0-2
in December/January,0-0
