column_0,Temple,Opponents
Scoring: Points/Game,21.9,29.3
Scoring: Games - Points,12 - 263,12 - 351
First Downs: Total,221,232
First Downs: Rushing - Passing - By Penalty,47 - 155 - 19,110 - 110 - 12
Rushing: Yards / Attempt,3.11,4.57
Rushing: Attempts - Yards - TD,318 - 989 - 11,506 - 2311 - 21
Passing: Rating,122.64,143.09
Passing: Yards,3217,2383
Passing: Attempts - Completions - Interceptions - TD,484 - 288 - 12 - 18,326 - 209 - 6 - 21
Total Offense: Yards / Play,5.24,5.64
Total Offense: Plays - Yards,802 - 4206,832 - 4694
Punt Returns: Yards / Return,5.13,4.15
Punt Returns: Returns - Yards - TD,15 - 77 - 0,13 - 54 - 0
Kickoff Returns: Yards / Return,16.39,21.47
Kickoff Returns: Returns - Yards - TD,41 - 672 - 0,36 - 773 - 1
Punting: Yards / Punt,40.00,39.79
Punting: Punts - Yards,58 - 2320,56 - 2228
Interceptions: Returns - Yards - TD,6 - 136 - 2,12 - 105 - 1
Fumbles: Number - Lost,20 - 11,12 - 6
Penalties: Number - Yards,55 - 444,65 - 516
Time of Possession / Game,27:02.67,32:57.33
3rd Down Conversions: Conversion %,32.95%,36.63%
3rd Down Conversions: Attempts - Conversions,173 - 57,172 - 63
4th Down Conversions: Conversion %,42.42%,50%
4th Down Conversions: Attempts - Conversions,33 - 14,26 - 13
Red Zone: Success %,85.29%,81.25%
Red Zone: Attempts - Scores,34 - 29,48 - 39
Field Goals: Success %,81.3%,63.6%
Field Goals: Attempts - Made,16 - 13,22 - 14
PAT Kicking: Success %,96.6%,100%
PAT Kicking: Attempts - Made,29 - 28,43 - 43
2-Point Conversions: Success %,33.33%,100%
2-Point Conversions: Attempts - Made,3 - 1,1 - 1
