Date,Opponent,Result,Game Time,Attendance
08/31/19,+ 8 Alabama,L 3-42,3:14,71916
09/07/19,North Carolina A&T,W 45-13,3:05,38313
09/14/19,@ Middle Tennessee State,W 41-18,2:44,19852
09/27/19,@ Virginia Tech,W 45-10,3:09,59537
10/05/19,Pittsburgh,L 30-33,3:55,22610
10/12/19,Georgia Tech,W 41-23,3:19,21741
10/19/19,@ Virginia,L 14-48,3:12,52847
10/26/19,@ North Carolina,L 17-20,3:10,50500
11/09/19,12 Notre Dame,L 7-38,3:19,40004
11/16/19,Syracuse,L 6-49,3:18,16286
11/23/19,@ Wake Forest,L 27-39,3:19,24130
11/30/19,Miami (FL),W 27-17,3:38,15913
