column_0,Tulsa,Opponents
Scoring: Points/Game,24.1,29.6
Scoring: Games - Points,12 - 289,12 - 355
First Downs: Total,242,258
First Downs: Rushing - Passing - By Penalty,133 - 97 - 12,135 - 95 - 28
Rushing: Yards / Attempt,4.13,5.00
Rushing: Attempts - Yards - TD,582 - 2406 - 23,559 - 2797 - 26
Passing: Rating,117.47,120.74
Passing: Yards,2125,2095
Passing: Attempts - Completions - Interceptions - TD,317 - 171 - 10 - 13,310 - 180 - 9 - 11
Total Offense: Yards / Play,5.04,5.63
Total Offense: Plays - Yards,899 - 4531,869 - 4892
Punt Returns: Yards / Return,12.42,10.65
Punt Returns: Returns - Yards - TD,12 - 149 - 0,26 - 277 - 1
Kickoff Returns: Yards / Return,18.10,19.48
Kickoff Returns: Returns - Yards - TD,31 - 561 - 0,25 - 487 - 0
Punting: Yards / Punt,46.58,38.38
Punting: Punts - Yards,53 - 2469,55 - 2111
Interceptions: Returns - Yards - TD,9 - 73 - 0,10 - 150 - 2
Fumbles: Number - Lost,22 - 14,17 - 11
Penalties: Number - Yards,85 - 746,81 - 697
Time of Possession / Game,29:11.67,30:48.33
3rd Down Conversions: Conversion %,43%,45.76%
3rd Down Conversions: Attempts - Conversions,200 - 86,177 - 81
4th Down Conversions: Conversion %,58.06%,36.36%
4th Down Conversions: Attempts - Conversions,31 - 18,11 - 4
Red Zone: Success %,78.85%,81.13%
Red Zone: Attempts - Scores,52 - 41,53 - 43
Field Goals: Success %,57.1%,90.5%
Field Goals: Attempts - Made,21 - 12,21 - 19
PAT Kicking: Success %,97.2%,92.7%
PAT Kicking: Attempts - Made,36 - 35,41 - 38
2-Point Conversions: Success %,-,0%
2-Point Conversions: Attempts - Made,0 - 0,2 - 0
