Split,Record
All Games,4-8
at Home,2-4
on Road/Neutral Site,2-4
vs. Conference,2-6
vs. Non-Conference,2-2
vs. Ranked (AP),0-3
vs. Unranked (AP),4-5
vs. FBS (I-A),3-8
vs. FCS (I-AA),1-0
vs. FBS Winning,1-4
vs. FBS Non-Winning,2-4
vs. BCS AQ,2-8
vs. BCS non-AQ,1-0
vs. FBS Power 5,0-2
vs. FBS non-Power 5,3-6
in August/September,3-2
in October,0-3
in November,1-3
in December/January,0-0
