column_0,Temple,Opponents
Scoring: Points/Game,19.6,35.4
Scoring: Games - Points,12 - 235,12 - 425
First Downs: Total,187,240
First Downs: Rushing - Passing - By Penalty,55 - 116 - 16,120 - 101 - 19
Rushing: Yards / Attempt,2.88,5.54
Rushing: Attempts - Yards - TD,386 - 1113 - 10,490 - 2713 - 30
Passing: Rating,117.90,131.29
Passing: Yards,2592,2300
Passing: Attempts - Completions - Interceptions - TD,411 - 242 - 14 - 16,333 - 196 - 9 - 20
Total Offense: Yards / Play,4.65,6.09
Total Offense: Plays - Yards,797 - 3705,823 - 5013
Punt Returns: Yards / Return,6.08,5.70
Punt Returns: Returns - Yards - TD,13 - 79 - 1,10 - 57 - 0
Kickoff Returns: Yards / Return,18.69,25.00
Kickoff Returns: Returns - Yards - TD,36 - 673 - 0,12 - 300 - 1
Punting: Yards / Punt,40.47,40.15
Punting: Punts - Yards,75 - 3035,62 - 2489
Interceptions: Returns - Yards - TD,9 - 79 - 0,14 - 136 - 2
Fumbles: Number - Lost,17 - 11,13 - 6
Penalties: Number - Yards,67 - 541,65 - 565
Time of Possession / Game,30:12.00,29:45.75
3rd Down Conversions: Conversion %,32.07%,36.59%
3rd Down Conversions: Attempts - Conversions,184 - 59,164 - 60
4th Down Conversions: Conversion %,41.67%,42.86%
4th Down Conversions: Attempts - Conversions,24 - 10,21 - 9
Red Zone: Success %,72.73%,85.11%
Red Zone: Attempts - Scores,33 - 24,47 - 40
Field Goals: Success %,72.7%,75%
Field Goals: Attempts - Made,22 - 16,16 - 12
PAT Kicking: Success %,100%,98%
PAT Kicking: Attempts - Made,21 - 21,50 - 49
2-Point Conversions: Success %,33.33%,100%
2-Point Conversions: Attempts - Made,6 - 2,4 - 4
