column_0,Boston College,Opponents
Scoring: Points/Game,24.8,28.3
Scoring: Games - Points,13 - 323,13 - 368
First Downs: Total,280,247
First Downs: Rushing - Passing - By Penalty,161 - 98 - 21,107 - 118 - 22
Rushing: Yards / Attempt,4.72,5.29
Rushing: Attempts - Yards - TD,547 - 2584 - 25,462 - 2443 - 30
Passing: Rating,117.66,136.52
Passing: Yards,2372,2563
Passing: Attempts - Completions - Interceptions - TD,361 - 204 - 14 - 15,334 - 194 - 8 - 19
Total Offense: Yards / Play,5.46,6.29
Total Offense: Plays - Yards,908 - 4956,796 - 5006
Punt Returns: Yards / Return,9.33,6.44
Punt Returns: Returns - Yards - TD,12 - 112 - 0,9 - 58 - 0
Kickoff Returns: Yards / Return,15.55,18.77
Kickoff Returns: Returns - Yards - TD,20 - 311 - 0,35 - 657 - 0
Punting: Yards / Punt,37.92,41.44
Punting: Punts - Yards,53 - 2010,52 - 2155
Interceptions: Returns - Yards - TD,8 - 45 - 1,14 - 47 - 0
Fumbles: Number - Lost,15 - 5,21 - 9
Penalties: Number - Yards,85 - 717,79 - 640
Time of Possession / Game,31:07.77,28:31.92
3rd Down Conversions: Conversion %,41.36%,41.56%
3rd Down Conversions: Attempts - Conversions,191 - 79,154 - 64
4th Down Conversions: Conversion %,76.32%,72.22%
4th Down Conversions: Attempts - Conversions,38 - 29,18 - 13
Red Zone: Success %,85.71%,93.02%
Red Zone: Attempts - Scores,42 - 36,43 - 40
Field Goals: Success %,78.6%,64.3%
Field Goals: Attempts - Made,14 - 11,14 - 9
PAT Kicking: Success %,92.3%,97.9%
PAT Kicking: Attempts - Made,39 - 36,48 - 47
2-Point Conversions: Success %,33.33%,-
2-Point Conversions: Attempts - Made,3 - 1,0 - 0
