Date,Opponent,Result,Game Time,Attendance
09/03/21,@ Charlotte,L 28-31,4:05,14125
09/10/21,North Carolina A&T,W 45-17,3:31,18091
09/18/21,Northwestern,W 30-23,3:30,12323
09/25/21,Kansas,W 52-33,3:33,19128
10/02/21,@ North Carolina,L 7-38,3:09,45812
10/09/21,Georgia Tech,L 27-31,3:26,11849
10/16/21,@ Virginia,L 0-48,3:19,38489
10/30/21,@ 15 Wake Forest,L 7-45,3:02,31613
11/06/21,13 Pittsburgh,L 29-54,3:41,20693
11/13/21,@ Virginia Tech,L 17-48,3:23,56730
11/18/21,Louisville,L 22-62,3:16,8493
11/27/21,Miami (FL),L 10-47,3:11,17391
