Split,Record
All Games,13-1
at Home,7-0
on Road/Neutral Site,6-1
vs. Conference,8-1
vs. Non-Conference,5-0
vs. Ranked (AP),4-1
vs. Unranked (AP),9-0
vs. FBS (I-A),12-1
vs. FCS (I-AA),1-0
vs. FBS Winning,8-1
vs. FBS Non-Winning,4-0
vs. BCS AQ,10-1
vs. BCS non-AQ,2-0
vs. FBS Power 5,10-1
vs. FBS non-Power 5,2-0
in August/September,5-0
in October,3-0
in November,3-1
in December/January,2-0
