column_0,Virginia,Opponents
Scoring: Points/Game,34.6,31.8
Scoring: Games - Points,12 - 415,12 - 382
First Downs: Total,319,281
First Downs: Rushing - Passing - By Penalty,83 - 213 - 23,120 - 132 - 29
Rushing: Yards / Attempt,4.38,5.79
Rushing: Attempts - Yards - TD,339 - 1485 - 21,468 - 2710 - 21
Passing: Rating,149.01,142.79
Passing: Yards,4711,2882
Passing: Attempts - Completions - Interceptions - TD,553 - 350 - 12 - 31,376 - 225 - 8 - 26
Total Offense: Yards / Play,6.95,6.63
Total Offense: Plays - Yards,892 - 6196,844 - 5592
Punt Returns: Yards / Return,5.22,9.81
Punt Returns: Returns - Yards - TD,18 - 94 - 0,16 - 157 - 0
Kickoff Returns: Yards / Return,14.71,22.00
Kickoff Returns: Returns - Yards - TD,14 - 206 - 0,13 - 286 - 1
Punting: Yards / Punt,44.20,42.40
Punting: Punts - Yards,41 - 1812,48 - 2035
Interceptions: Returns - Yards - TD,8 - 126 - 0,12 - 96 - 0
Fumbles: Number - Lost,19 - 6,11 - 6
Penalties: Number - Yards,77 - 681,78 - 711
Time of Possession / Game,30:38.58,29:17.33
3rd Down Conversions: Conversion %,45.91%,40.99%
3rd Down Conversions: Attempts - Conversions,159 - 73,161 - 66
4th Down Conversions: Conversion %,42.11%,63.16%
4th Down Conversions: Attempts - Conversions,19 - 8,19 - 12
Red Zone: Success %,85%,76.47%
Red Zone: Attempts - Scores,60 - 51,51 - 39
Field Goals: Success %,78.9%,65.2%
Field Goals: Attempts - Made,19 - 15,23 - 15
PAT Kicking: Success %,100%,97.8%
PAT Kicking: Attempts - Made,50 - 50,46 - 45
2-Point Conversions: Success %,100%,50%
2-Point Conversions: Attempts - Made,2 - 2,2 - 1
