Split,Record
All Games,3-9
at Home,3-3
on Road/Neutral Site,0-6
vs. Conference,2-6
vs. Non-Conference,1-3
vs. Ranked (AP),0-1
vs. Unranked (AP),3-8
vs. FBS (I-A),2-9
vs. FCS (I-AA),1-0
vs. FBS Winning,0-7
vs. FBS Non-Winning,2-2
vs. BCS AQ,2-8
vs. BCS non-AQ,0-1
vs. FBS Power 5,0-2
vs. FBS non-Power 5,2-7
in August/September,1-3
in October,0-4
in November,2-2
in December/January,0-0
