column_0,Florida,Opponents
Scoring: Points/Game,22.1,27.3
Scoring: Games - Points,11 - 243,11 - 300
First Downs: Total,185,192
First Downs: Rushing - Passing - By Penalty,83 - 92 - 10,82 - 92 - 18
Rushing: Yards / Attempt,4.30,4.23
Rushing: Attempts - Yards - TD,400 - 1720 - 15,400 - 1693 - 16
Passing: Rating,113.11,130.87
Passing: Yards,1975,2149
Passing: Attempts - Completions - Interceptions - TD,312 - 174 - 10 - 10,270 - 148 - 14 - 16
Total Offense: Yards / Play,5.19,5.73
Total Offense: Plays - Yards,712 - 3695,670 - 3842
Punt Returns: Yards / Return,5.08,10.93
Punt Returns: Returns - Yards - TD,13 - 66 - 0,28 - 306 - 0
Kickoff Returns: Yards / Return,21.27,26.56
Kickoff Returns: Returns - Yards - TD,26 - 553 - 0,9 - 239 - 0
Punting: Yards / Punt,47.20,42.60
Punting: Punts - Yards,65 - 3068,55 - 2343
Interceptions: Returns - Yards - TD,14 - 228 - 3,10 - 82 - 1
Fumbles: Number - Lost,16 - 10,6 - 3
Penalties: Number - Yards,88 - 646,64 - 501
Time of Possession / Game,31:03.18,28:56.82
3rd Down Conversions: Conversion %,32.48%,33.09%
3rd Down Conversions: Attempts - Conversions,157 - 51,139 - 46
4th Down Conversions: Conversion %,66.67%,71.43%
4th Down Conversions: Attempts - Conversions,18 - 12,7 - 5
Red Zone: Success %,96.77%,82.86%
Red Zone: Attempts - Scores,31 - 30,35 - 29
Field Goals: Success %,94.4%,66.7%
Field Goals: Attempts - Made,18 - 17,24 - 16
PAT Kicking: Success %,92.3%,100%
PAT Kicking: Attempts - Made,26 - 24,36 - 36
2-Point Conversions: Success %,0%,-
2-Point Conversions: Attempts - Made,1 - 0,0 - 0
