column_0,Auburn,Opponents
Scoring: Points/Game,24.8,29.5
Scoring: Games - Points,12 - 297,12 - 354
First Downs: Total,217,244
First Downs: Rushing - Passing - By Penalty,120 - 88 - 9,107 - 119 - 18
Rushing: Yards / Attempt,5.06,4.64
Rushing: Attempts - Yards - TD,488 - 2469 - 25,447 - 2072 - 28
Passing: Rating,109.98,121.34
Passing: Yards,2072,2671
Passing: Attempts - Completions - Interceptions - TD,308 - 159 - 12 - 9,412 - 238 - 6 - 15
Total Offense: Yards / Play,5.70,5.52
Total Offense: Plays - Yards,796 - 4541,859 - 4743
Punt Returns: Yards / Return,8.10,4.20
Punt Returns: Returns - Yards - TD,21 - 170 - 0,10 - 42 - 0
Kickoff Returns: Yards / Return,16.52,21.63
Kickoff Returns: Returns - Yards - TD,23 - 380 - 0,32 - 692 - 1
Punting: Yards / Punt,43.75,41.95
Punting: Punts - Yards,57 - 2494,64 - 2685
Interceptions: Returns - Yards - TD,6 - 33 - 1,12 - 81 - 0
Fumbles: Number - Lost,24 - 10,19 - 7
Penalties: Number - Yards,90 - 688,90 - 694
Time of Possession / Game,30:13.92,29:46.08
3rd Down Conversions: Conversion %,35.96%,42.46%
3rd Down Conversions: Attempts - Conversions,178 - 64,179 - 76
4th Down Conversions: Conversion %,59.09%,50%
4th Down Conversions: Attempts - Conversions,22 - 13,12 - 6
Red Zone: Success %,88.1%,89.13%
Red Zone: Attempts - Scores,42 - 37,46 - 41
Field Goals: Success %,75%,73.7%
Field Goals: Attempts - Made,24 - 18,19 - 14
PAT Kicking: Success %,100%,97.7%
PAT Kicking: Attempts - Made,31 - 31,43 - 42
2-Point Conversions: Success %,25%,0%
2-Point Conversions: Attempts - Made,4 - 1,1 - 0
