Split,Record
All Games,8-5
at Home,6-1
on Road/Neutral Site,2-4
vs. Conference,4-4
vs. Non-Conference,4-1
vs. Ranked (AP),2-3
vs. Unranked (AP),6-2
vs. FBS (I-A),7-5
vs. FCS (I-AA),1-0
vs. FBS Winning,4-4
vs. FBS Non-Winning,3-1
vs. BCS AQ,5-5
vs. BCS non-AQ,2-0
vs. FBS Power 5,5-4
vs. FBS non-Power 5,2-1
in August/September,4-1
in October,1-2
in November,2-2
in December/January,1-0
