Date,Opponent,Result,Game Time,Attendance
09/26/20,Duke,W 38-20,3:37,1000
10/03/20,@ 2 Clemson,L 23-41,3:08,18735
10/10/20,24 NC State,L 21-38,3:33,1000
10/17/20,@ Wake Forest,L 23-40,3:30,2186
10/24/20,@ 18 Miami (FL),L 14-19,3:20,9940
10/31/20,14 North Carolina,W 44-41,3:14,1000
11/14/20,Louisville,W 31-17,3:09,1000
11/21/20,Abilene Christian,W 55-15,3:21,250
12/05/20,Boston College,W 43-32,3:22,250
12/12/20,@ Virginia Tech,L 15-33,2:59,250
