column_0,Duke,Opponents
Scoring: Points/Game,33.4,29.6
Scoring: Games - Points,10 - 334,10 - 296
First Downs: Total,225,222
First Downs: Rushing - Passing - By Penalty,73 - 133 - 19,78 - 120 - 24
Rushing: Yards / Attempt,4.43,4.08
Rushing: Attempts - Yards - TD,293 - 1298 - 15,359 - 1465 - 23
Passing: Rating,158.26,148.55
Passing: Yards,3029,2733
Passing: Attempts - Completions - Interceptions - TD,362 - 244 - 4 - 25,314 - 214 - 10 - 13
Total Offense: Yards / Play,6.61,6.24
Total Offense: Plays - Yards,655 - 4327,673 - 4198
Punt Returns: Yards / Return,12.89,2.64
Punt Returns: Returns - Yards - TD,9 - 116 - 1,11 - 29 - 0
Kickoff Returns: Yards / Return,27.67,19.71
Kickoff Returns: Returns - Yards - TD,18 - 498 - 1,14 - 276 - 0
Punting: Yards / Punt,43.13,45.26
Punting: Punts - Yards,32 - 1380,31 - 1403
Interceptions: Returns - Yards - TD,10 - 167 - 1,4 - 5 - 0
Fumbles: Number - Lost,15 - 8,12 - 5
Penalties: Number - Yards,68 - 669,62 - 569
Time of Possession / Game,27:46.20,32:11.10
3rd Down Conversions: Conversion %,39.67%,44.36%
3rd Down Conversions: Attempts - Conversions,121 - 48,133 - 59
4th Down Conversions: Conversion %,73.91%,60%
4th Down Conversions: Attempts - Conversions,23 - 17,20 - 12
Red Zone: Success %,80.95%,92.86%
Red Zone: Attempts - Scores,42 - 34,42 - 39
Field Goals: Success %,68.8%,86.7%
Field Goals: Attempts - Made,16 - 11,15 - 13
PAT Kicking: Success %,100%,97.1%
PAT Kicking: Attempts - Made,37 - 37,34 - 33
2-Point Conversions: Success %,50%,33.33%
2-Point Conversions: Attempts - Made,6 - 3,3 - 1
