Split,Record
All Games,5-5
at Home,5-1
on Road/Neutral Site,0-4
vs. Conference,4-5
vs. Non-Conference,1-0
vs. Ranked (AP),1-3
vs. Unranked (AP),4-2
vs. FBS (I-A),4-5
vs. FCS (I-AA),1-0
vs. FBS Winning,2-3
vs. FBS Non-Winning,2-2
vs. BCS AQ,4-5
vs. BCS non-AQ,0-0
vs. FBS Power 5,4-5
vs. FBS non-Power 5,0-0
in August/September,1-0
in October,1-4
in November,2-0
in December/January,1-1
