column_0,Virginia,Opponents
Scoring: Points/Game,33.7,21.2
Scoring: Games - Points,11 - 371,11 - 233
First Downs: Total,235,182
First Downs: Rushing - Passing - By Penalty,107 - 117 - 11,70 - 100 - 12
Rushing: Yards / Attempt,4.80,3.30
Rushing: Attempts - Yards - TD,431 - 2067 - 26,358 - 1180 - 15
Passing: Rating,135.34,123.02
Passing: Yards,2751,2363
Passing: Attempts - Completions - Interceptions - TD,378 - 247 - 8 - 15,348 - 210 - 10 - 12
Total Offense: Yards / Play,5.96,5.02
Total Offense: Plays - Yards,809 - 4818,706 - 3543
Punt Returns: Yards / Return,10.14,14.67
Punt Returns: Returns - Yards - TD,28 - 284 - 0,21 - 308 - 1
Kickoff Returns: Yards / Return,34.00,15.12
Kickoff Returns: Returns - Yards - TD,9 - 306 - 1,17 - 257 - 0
Punting: Yards / Punt,47.23,40.21
Punting: Punts - Yards,40 - 1889,62 - 2493
Interceptions: Returns - Yards - TD,10 - 120 - 2,8 - 80 - 1
Fumbles: Number - Lost,14 - 3,15 - 7
Penalties: Number - Yards,60 - 498,48 - 442
Time of Possession / Game,31:54.09,28:05.91
3rd Down Conversions: Conversion %,49.16%,28.48%
3rd Down Conversions: Attempts - Conversions,179 - 88,151 - 43
4th Down Conversions: Conversion %,45.83%,58.33%
4th Down Conversions: Attempts - Conversions,24 - 11,24 - 14
Red Zone: Success %,82.69%,80.65%
Red Zone: Attempts - Scores,52 - 43,31 - 25
Field Goals: Success %,81.8%,71.4%
Field Goals: Attempts - Made,22 - 18,14 - 10
PAT Kicking: Success %,100%,100%
PAT Kicking: Attempts - Made,43 - 43,27 - 27
2-Point Conversions: Success %,100%,0%
2-Point Conversions: Attempts - Made,1 - 1,2 - 0
