column_0,Auburn,Opponents
Scoring: Points/Game,31.2,17.1
Scoring: Games - Points,13 - 406,13 - 222
First Downs: Total,286,250
First Downs: Rushing - Passing - By Penalty,173 - 97 - 16,95 - 137 - 18
Rushing: Yards / Attempt,5.47,3.74
Rushing: Attempts - Yards - TD,645 - 3527 - 33,462 - 1726 - 8
Passing: Rating,135.17,116.83
Passing: Yards,2203,2979
Passing: Attempts - Completions - Interceptions - TD,289 - 178 - 6 - 12,466 - 270 - 11 - 14
Total Offense: Yards / Play,6.13,5.07
Total Offense: Plays - Yards,934 - 5730,928 - 4705
Punt Returns: Yards / Return,10.69,3.17
Punt Returns: Returns - Yards - TD,16 - 171 - 0,6 - 19 - 0
Kickoff Returns: Yards / Return,19.04,18.00
Kickoff Returns: Returns - Yards - TD,23 - 438 - 0,19 - 342 - 0
Punting: Yards / Punt,41.54,39.32
Punting: Punts - Yards,48 - 1994,72 - 2831
Interceptions: Returns - Yards - TD,11 - 83 - 0,6 - 50 - 1
Fumbles: Number - Lost,18 - 8,21 - 6
Penalties: Number - Yards,61 - 475,79 - 639
Time of Possession / Game,29:10.85,30:49.15
3rd Down Conversions: Conversion %,41.76%,34.83%
3rd Down Conversions: Attempts - Conversions,182 - 76,201 - 70
4th Down Conversions: Conversion %,47.62%,52.17%
4th Down Conversions: Attempts - Conversions,21 - 10,23 - 12
Red Zone: Success %,85.45%,74.42%
Red Zone: Attempts - Scores,55 - 47,43 - 32
Field Goals: Success %,87.5%,75%
Field Goals: Attempts - Made,32 - 28,28 - 21
PAT Kicking: Success %,100%,91.3%
PAT Kicking: Attempts - Made,44 - 44,23 - 21
2-Point Conversions: Success %,0%,-
2-Point Conversions: Attempts - Made,1 - 0,0 - 0
