Split,Record
All Games,11-3
at Home,6-2
on Road/Neutral Site,5-1
vs. Conference,8-1
vs. Non-Conference,3-2
vs. Ranked (AP),0-2
vs. Unranked (AP),11-1
vs. FBS (I-A),10-3
vs. FCS (I-AA),1-0
vs. FBS Winning,3-3
vs. FBS Non-Winning,7-0
vs. BCS AQ,8-3
vs. BCS non-AQ,2-0
vs. FBS Power 5,0-2
vs. FBS non-Power 5,10-1
in August/September,4-1
in October,3-0
in November,4-0
in December/January,0-2
