column_0,Alabama,Opponents
Scoring: Points/Game,34.0,19.0
Scoring: Games - Points,14 - 476,14 - 266
First Downs: Total,280,228
First Downs: Rushing - Passing - By Penalty,138 - 124 - 18,95 - 113 - 20
Rushing: Yards / Attempt,4.31,3.72
Rushing: Attempts - Yards - TD,561 - 2417 - 32,470 - 1749 - 15
Passing: Rating,163.42,121.50
Passing: Yards,3086,2675
Passing: Attempts - Completions - Interceptions - TD,325 - 208 - 6 - 23,413 - 245 - 12 - 17
Total Offense: Yards / Play,6.21,5.01
Total Offense: Plays - Yards,886 - 5503,883 - 4424
Punt Returns: Yards / Return,8.70,9.23
Punt Returns: Returns - Yards - TD,20 - 174 - 1,13 - 120 - 0
Kickoff Returns: Yards / Return,22.21,16.28
Kickoff Returns: Returns - Yards - TD,24 - 533 - 0,25 - 407 - 0
Punting: Yards / Punt,47.16,46.03
Punting: Punts - Yards,63 - 2971,72 - 3314
Interceptions: Returns - Yards - TD,12 - 125 - 1,6 - 63 - 0
Fumbles: Number - Lost,19 - 5,18 - 7
Penalties: Number - Yards,78 - 655,72 - 549
Time of Possession / Game,30:43.93,29:16.07
3rd Down Conversions: Conversion %,45.05%,32.98%
3rd Down Conversions: Attempts - Conversions,182 - 82,191 - 63
4th Down Conversions: Conversion %,71.43%,40.74%
4th Down Conversions: Attempts - Conversions,7 - 5,27 - 11
Red Zone: Success %,92.31%,82.93%
Red Zone: Attempts - Scores,52 - 48,41 - 34
Field Goals: Success %,88%,66.7%
Field Goals: Attempts - Made,25 - 22,21 - 14
PAT Kicking: Success %,100%,96.8%
PAT Kicking: Attempts - Made,56 - 56,31 - 30
2-Point Conversions: Success %,100%,100%
2-Point Conversions: Attempts - Made,2 - 2,1 - 1
