Date,Opponent,Result,Game Time,Attendance
09/02/17,@ 11 Notre Dame,L 16-49,3:17,77622
09/09/17,Villanova,W 16-13,3:06,35117
09/15/17,Massachusetts,W 29-21,3:29,22911
09/21/17,@ 21 USF,L 7-43,3:23,24325
09/30/17,Houston,L 13-20,3:25,24024
10/07/17,@ East Carolina,W 34-10,3:17,31326
10/14/17,Connecticut,L 24-28,3:19,29849
10/21/17,@ Army,L 28-31,3:39,34876
11/02/17,Navy,W 34-26,3:07,26127
11/10/17,@ Cincinnati,W 35-24,3:22,22773
11/18/17,6 UCF,L 19-45,3:21,25877
11/25/17,@ Tulsa,W 43-22,3:25,17032
12/21/17,+ FIU,W 28-3,3:37,16363
