Split,Record
All Games,11-2
at Home,6-1
on Road/Neutral Site,5-1
vs. Conference,6-2
vs. Non-Conference,5-0
vs. Ranked (AP),1-2
vs. Unranked (AP),10-0
vs. FBS (I-A),10-2
vs. FCS (I-AA),1-0
vs. FBS Winning,4-2
vs. FBS Non-Winning,6-0
vs. BCS AQ,8-2
vs. BCS non-AQ,2-0
vs. FBS Power 5,8-2
vs. FBS non-Power 5,2-0
in August/September,5-0
in October,3-0
in November,2-2
in December/January,1-0
