Split,Record
All Games,3-7
at Home,2-4
on Road/Neutral Site,1-3
vs. Conference,1-6
vs. Non-Conference,2-1
vs. Ranked (AP),0-1
vs. Unranked (AP),3-6
vs. FBS (I-A),2-7
vs. FCS (I-AA),1-0
vs. FBS Winning,0-6
vs. FBS Non-Winning,2-1
vs. BCS AQ,1-7
vs. BCS non-AQ,1-0
vs. FBS Power 5,1-7
vs. FBS non-Power 5,1-0
in August/September,2-2
in October,1-3
in November,0-2
in December/January,0-0
