column_0,Temple,Opponents
Scoring: Points/Game,16.3,37.5
Scoring: Games - Points,12 - 196,12 - 450
First Downs: Total,177,268
First Downs: Rushing - Passing - By Penalty,72 - 89 - 16,143 - 108 - 17
Rushing: Yards / Attempt,3.65,4.77
Rushing: Attempts - Yards - TD,360 - 1315 - 12,555 - 2646 - 33
Passing: Rating,111.70,142.90
Passing: Yards,2126,2135
Passing: Attempts - Completions - Interceptions - TD,364 - 213 - 9 - 10,305 - 186 - 6 - 25
Total Offense: Yards / Play,4.75,5.56
Total Offense: Plays - Yards,724 - 3441,860 - 4781
Punt Returns: Yards / Return,3.79,10.91
Punt Returns: Returns - Yards - TD,14 - 53 - 0,23 - 251 - 0
Kickoff Returns: Yards / Return,18.13,23.29
Kickoff Returns: Returns - Yards - TD,32 - 580 - 0,24 - 559 - 0
Punting: Yards / Punt,41.95,44.83
Punting: Punts - Yards,63 - 2643,46 - 2062
Interceptions: Returns - Yards - TD,6 - 56 - 1,9 - 162 - 1
Fumbles: Number - Lost,17 - 12,21 - 8
Penalties: Number - Yards,69 - 533,45 - 434
Time of Possession / Game,27:08.67,32:26.92
3rd Down Conversions: Conversion %,27.92%,42.07%
3rd Down Conversions: Attempts - Conversions,154 - 43,164 - 69
4th Down Conversions: Conversion %,44%,80%
4th Down Conversions: Attempts - Conversions,25 - 11,30 - 24
Red Zone: Success %,80%,86.67%
Red Zone: Attempts - Scores,25 - 20,60 - 52
Field Goals: Success %,56.3%,80%
Field Goals: Attempts - Made,16 - 9,15 - 12
PAT Kicking: Success %,100%,96.6%
PAT Kicking: Attempts - Made,23 - 23,58 - 56
2-Point Conversions: Success %,100%,100%
2-Point Conversions: Attempts - Made,1 - 1,1 - 1
