column_0,Temple,Opponents
Scoring: Points/Game,26.3,25.9
Scoring: Games - Points,13 - 342,13 - 337
First Downs: Total,263,281
First Downs: Rushing - Passing - By Penalty,92 - 146 - 25,121 - 124 - 36
Rushing: Yards / Attempt,3.72,3.82
Rushing: Attempts - Yards - TD,479 - 1784 - 16,541 - 2066 - 19
Passing: Rating,131.36,117.44
Passing: Yards,3312,2846
Passing: Attempts - Completions - Interceptions - TD,472 - 282 - 13 - 26,455 - 242 - 8 - 21
Total Offense: Yards / Play,5.36,4.93
Total Offense: Plays - Yards,951 - 5096,996 - 4912
Punt Returns: Yards / Return,5.23,7.50
Punt Returns: Returns - Yards - TD,13 - 68 - 0,14 - 105 - 0
Kickoff Returns: Yards / Return,20.03,18.53
Kickoff Returns: Returns - Yards - TD,39 - 781 - 0,19 - 352 - 0
Punting: Yards / Punt,37.98,43.46
Punting: Punts - Yards,65 - 2469,70 - 3042
Interceptions: Returns - Yards - TD,8 - 110 - 1,13 - 104 - 3
Fumbles: Number - Lost,18 - 7,17 - 12
Penalties: Number - Yards,92 - 801,69 - 596
Time of Possession / Game,29:15.54,30:44.46
3rd Down Conversions: Conversion %,37.81%,37.91%
3rd Down Conversions: Attempts - Conversions,201 - 76,211 - 80
4th Down Conversions: Conversion %,41.67%,50%
4th Down Conversions: Attempts - Conversions,36 - 15,36 - 18
Red Zone: Success %,74%,70%
Red Zone: Attempts - Scores,50 - 37,50 - 35
Field Goals: Success %,73.3%,58.8%
Field Goals: Attempts - Made,15 - 11,17 - 10
PAT Kicking: Success %,92.9%,95.3%
PAT Kicking: Attempts - Made,42 - 39,43 - 41
2-Point Conversions: Success %,0%,-
2-Point Conversions: Attempts - Made,3 - 0,0 - 0
