column_0,Alabama,Opponents
Scoring: Points/Game,39.9,20.1
Scoring: Games - Points,15 - 598,15 - 302
First Downs: Total,365,266
First Downs: Rushing - Passing - By Penalty,129 - 214 - 22,86 - 141 - 39
Rushing: Yards / Attempt,4.11,2.66
Rushing: Attempts - Yards - TD,548 - 2250 - 21,485 - 1290 - 9
Passing: Rating,166.47,132.55
Passing: Yards,5073,3271
Passing: Attempts - Completions - Interceptions - TD,571 - 380 - 7 - 48,471 - 297 - 15 - 25
Total Offense: Yards / Play,6.54,4.77
Total Offense: Plays - Yards,"1,119 - 7323",956 - 4561
Punt Returns: Yards / Return,8.00,6.54
Punt Returns: Returns - Yards - TD,34 - 272 - 2,13 - 85 - 0
Kickoff Returns: Yards / Return,24.00,18.96
Kickoff Returns: Returns - Yards - TD,19 - 456 - 2,24 - 455 - 1
Punting: Yards / Punt,38.33,42.64
Punting: Punts - Yards,49 - 1878,88 - 3752
Interceptions: Returns - Yards - TD,15 - 189 - 2,7 - 96 - 1
Fumbles: Number - Lost,17 - 6,12 - 6
Penalties: Number - Yards,"107 - 1,005",100 - 731
Time of Possession / Game,31:53.07,28:06.93
3rd Down Conversions: Conversion %,52.02%,31.25%
3rd Down Conversions: Attempts - Conversions,223 - 116,208 - 65
4th Down Conversions: Conversion %,52.94%,54.84%
4th Down Conversions: Attempts - Conversions,17 - 9,31 - 17
Red Zone: Success %,92.65%,85%
Red Zone: Attempts - Scores,68 - 63,40 - 34
Field Goals: Success %,79.3%,100%
Field Goals: Attempts - Made,29 - 23,17 - 17
PAT Kicking: Success %,98.6%,97.1%
PAT Kicking: Attempts - Made,72 - 71,34 - 33
2-Point Conversions: Success %,80%,25%
2-Point Conversions: Attempts - Made,5 - 4,4 - 1
