Split,Record
All Games,10-3
at Home,5-2
on Road/Neutral Site,5-1
vs. Conference,5-3
vs. Non-Conference,5-0
vs. Ranked (AP),2-2
vs. Unranked (AP),8-1
vs. FBS (I-A),8-3
vs. FCS (I-AA),2-0
vs. FBS Winning,4-3
vs. FBS Non-Winning,4-0
vs. BCS AQ,7-3
vs. BCS non-AQ,1-0
vs. FBS Power 5,7-3
vs. FBS non-Power 5,1-0
in August/September,4-1
in October,2-1
in November,3-1
in December/January,1-0
