Split,Record
All Games,4-6
at Home,2-3
on Road/Neutral Site,2-3
vs. Conference,1-6
vs. Non-Conference,3-0
vs. Ranked (AP),0-5
vs. Unranked (AP),4-1
vs. FBS (I-A),4-6
vs. FCS (I-AA),0-0
vs. FBS Winning,0-5
vs. FBS Non-Winning,4-1
vs. BCS AQ,2-6
vs. BCS non-AQ,2-0
vs. FBS Power 5,2-6
vs. FBS non-Power 5,2-0
in August/September,3-2
in October,1-2
in November,0-2
in December/January,0-0
