column_0,Tulane,Opponents
Scoring: Points/Game,26.4,20.5
Scoring: Games - Points,14 - 369,14 - 287
First Downs: Total,260,268
First Downs: Rushing - Passing - By Penalty,118 - 130 - 12,96 - 151 - 21
Rushing: Yards / Attempt,4.12,3.55
Rushing: Attempts - Yards - TD,527 - 2171 - 16,445 - 1578 - 14
Passing: Rating,149.55,127.53
Passing: Yards,3010,3200
Passing: Attempts - Completions - Interceptions - TD,368 - 229 - 7 - 25,473 - 309 - 17 - 18
Total Offense: Yards / Play,5.79,5.20
Total Offense: Plays - Yards,895 - 5181,918 - 4778
Punt Returns: Yards / Return,10.43,7.00
Punt Returns: Returns - Yards - TD,14 - 146 - 1,11 - 77 - 0
Kickoff Returns: Yards / Return,24.81,19.00
Kickoff Returns: Returns - Yards - TD,27 - 670 - 1,27 - 513 - 0
Punting: Yards / Punt,43.35,39.35
Punting: Punts - Yards,49 - 2124,51 - 2007
Interceptions: Returns - Yards - TD,17 - 138 - 0,7 - 124 - 0
Fumbles: Number - Lost,16 - 13,17 - 10
Penalties: Number - Yards,67 - 600,63 - 501
Time of Possession / Game,31:20.71,28:38.36
3rd Down Conversions: Conversion %,37.84%,36.56%
3rd Down Conversions: Attempts - Conversions,185 - 70,186 - 68
4th Down Conversions: Conversion %,59.38%,45.95%
4th Down Conversions: Attempts - Conversions,32 - 19,37 - 17
Red Zone: Success %,74.58%,89.13%
Red Zone: Attempts - Scores,59 - 44,46 - 41
Field Goals: Success %,80.8%,86.4%
Field Goals: Attempts - Made,26 - 21,22 - 19
PAT Kicking: Success %,100%,100%
PAT Kicking: Attempts - Made,42 - 42,30 - 30
2-Point Conversions: Success %,0%,33.33%
2-Point Conversions: Attempts - Made,2 - 0,3 - 1
