column_0,Virginia,Opponents
Scoring: Points/Game,22.5,33.8
Scoring: Games - Points,12 - 270,12 - 405
First Downs: Total,238,258
First Downs: Rushing - Passing - By Penalty,86 - 132 - 20,102 - 135 - 21
Rushing: Yards / Attempt,3.55,4.70
Rushing: Attempts - Yards - TD,384 - 1363 - 13,485 - 2280 - 20
Passing: Rating,113.17,150.72
Passing: Yards,2872,3079
Passing: Attempts - Completions - Interceptions - TD,487 - 266 - 16 - 23,361 - 221 - 9 - 25
Total Offense: Yards / Play,4.86,6.33
Total Offense: Plays - Yards,871 - 4235,846 - 5359
Punt Returns: Yards / Return,9.82,7.87
Punt Returns: Returns - Yards - TD,22 - 216 - 0,15 - 118 - 0
Kickoff Returns: Yards / Return,23.38,26.03
Kickoff Returns: Returns - Yards - TD,37 - 865 - 0,31 - 807 - 1
Punting: Yards / Punt,44.31,39.41
Punting: Punts - Yards,74 - 3279,56 - 2207
Interceptions: Returns - Yards - TD,9 - 70 - 0,16 - 332 - 4
Fumbles: Number - Lost,14 - 10,19 - 8
Penalties: Number - Yards,76 - 695,71 - 656
Time of Possession / Game,29:00.42,30:59.58
3rd Down Conversions: Conversion %,34.62%,43.35%
3rd Down Conversions: Attempts - Conversions,182 - 63,173 - 75
4th Down Conversions: Conversion %,52.17%,53.33%
4th Down Conversions: Attempts - Conversions,23 - 12,15 - 8
Red Zone: Success %,84.62%,92.68%
Red Zone: Attempts - Scores,39 - 33,41 - 38
Field Goals: Success %,50%,76.2%
Field Goals: Attempts - Made,10 - 5,21 - 16
PAT Kicking: Success %,93.5%,100%
PAT Kicking: Attempts - Made,31 - 29,49 - 49
2-Point Conversions: Success %,33.33%,50%
2-Point Conversions: Attempts - Made,6 - 2,2 - 1
