Date,Opponent,Result,Game Time,Attendance
08/30/25,@ Massachusetts,W 42-10,3:24,11565.0
09/06/25,Howard,W 55-7,3:04,15655.0
09/13/25,8 Oklahoma,L 3-42,3:31,24927.0
09/20/25,@ 15 Georgia Tech,L 24-45,3:15,45123.0
10/04/25,UTSA,W 27-21,3:34,12132.0
10/11/25,Navy,L 31-32,3:30,26149.0
10/18/25,@ Charlotte,W 49-14,3:39,13618.0
10/25/25,@ Tulsa,W 38-37,3:44,16403.0
11/01/25,East Carolina,L 14-45,3:02,13168.0
11/08/25,@ Army,L 13-14,2:53,30594.0
11/22/25,24 Tulane,,,
11/28/25,@ 22 North Texas,,,
