Date,Opponent,Result,Game Time,Attendance
09/03/22,Richmond,W 34-17,2:53,41122
09/10/22,@ Illinois,L 3-24,3:42,33669
09/17/22,Old Dominion,W 16-14,3:27,40556
09/23/22,@ Syracuse,L 20-22,3:36,34590
10/01/22,@ Duke,L 17-38,3:05,15152
10/08/22,Louisville,L 17-34,3:12,38009
10/20/22,@ Georgia Tech,W 16-9,3:43,29362
10/29/22,Miami (FL),L 12-14,3:30,43714
11/05/22,North Carolina,L 28-31,3:16,44156
11/12/22,22 Pittsburgh,L 7-37,3:07,36529
