column_0,Virginia,Opponents
Scoring: Points/Game,30.7,29.6
Scoring: Games - Points,10 - 307,10 - 296
First Downs: Total,236,204
First Downs: Rushing - Passing - By Penalty,95 - 116 - 25,69 - 124 - 11
Rushing: Yards / Attempt,4.45,3.74
Rushing: Attempts - Yards - TD,366 - 1627 - 16,370 - 1385 - 14
Passing: Rating,127.84,154.61
Passing: Yards,2606,3044
Passing: Attempts - Completions - Interceptions - TD,379 - 221 - 14 - 22,323 - 203 - 11 - 19
Total Offense: Yards / Play,5.68,6.39
Total Offense: Plays - Yards,745 - 4233,693 - 4429
Punt Returns: Yards / Return,5.07,6.00
Punt Returns: Returns - Yards - TD,14 - 71 - 0,12 - 72 - 0
Kickoff Returns: Yards / Return,23.17,19.75
Kickoff Returns: Returns - Yards - TD,23 - 533 - 0,16 - 316 - 0
Punting: Yards / Punt,41.40,40.95
Punting: Punts - Yards,43 - 1780,39 - 1597
Interceptions: Returns - Yards - TD,11 - 175 - 2,14 - 80 - 1
Fumbles: Number - Lost,7 - 5,13 - 7
Penalties: Number - Yards,53 - 483,79 - 667
Time of Possession / Game,31:03.80,28:56.20
3rd Down Conversions: Conversion %,37.06%,41.67%
3rd Down Conversions: Attempts - Conversions,143 - 53,144 - 60
4th Down Conversions: Conversion %,64%,33.33%
4th Down Conversions: Attempts - Conversions,25 - 16,15 - 5
Red Zone: Success %,82.93%,78.95%
Red Zone: Attempts - Scores,41 - 34,38 - 30
Field Goals: Success %,76.9%,82.6%
Field Goals: Attempts - Made,13 - 10,23 - 19
PAT Kicking: Success %,97.2%,96.9%
PAT Kicking: Attempts - Made,36 - 35,32 - 31
2-Point Conversions: Success %,33.33%,50%
2-Point Conversions: Attempts - Made,3 - 1,2 - 1
