Date,Opponent,Result,Game Time,Attendance
09/02/17,William & Mary,W 28-10,2:52,38828
09/09/17,Indiana,L 17-34,3:26,38993
09/16/17,Connecticut,W 38-18,2:59,33056
09/22/17,@ 22 Boise State,W 42-23,3:24,33947
10/07/17,Duke,W 28-21,3:35,38638
10/14/17,@ North Carolina,W 20-14,2:58,50000
10/21/17,Boston College,L 10-41,3:02,39216
10/28/17,@ Pittsburgh,L 14-31,2:54,30889
11/04/17,Georgia Tech,W 40-36,3:30,38448
11/11/17,@ Louisville,L 21-38,3:13,46787
11/18/17,@ 13 Miami (FL),L 28-44,3:21,63415
11/24/17,24 Virginia Tech,L 0-10,2:58,48609
12/28/17,@ Navy,L 7-49,3:19,35921
