Date,Opponent,Result,Game Time,Attendance
09/01/18,+ Louisville,W 51-14,3:35,57280
09/08/18,Arkansas State,W 57-7,3:26,100495
09/15/18,@ Ole Miss,W 62-7,3:18,62919
09/22/18,16 Texas A&M,W 45-23,3:23,101821
09/29/18,Louisiana,W 56-14,2:55,101471
10/06/18,@ Arkansas,W 65-31,3:17,64974
10/13/18,Missouri,W 39-10,3:13,101821
10/20/18,@ Tennessee,W 58-21,3:19,97087
11/03/18,@ 6 LSU,W 29-0,3:09,102321
11/10/18,Mississippi State,W 24-0,2:54,101821
11/17/18,The Citadel,W 50-17,2:57,101681
11/24/18,Auburn,W 52-21,3:17,101821
12/01/18,+ 7 Georgia,W 35-28,3:35,77141
12/29/18,+ 4 Oklahoma,W 45-34,3:37,66203
01/07/19,+ 1 Clemson,L 16-44,3:27,74814
