Split,Record
All Games,5-7
at Home,3-3
on Road/Neutral Site,2-4
vs. Conference,3-5
vs. Non-Conference,2-2
vs. Ranked (AP),0-2
vs. Unranked (AP),5-5
vs. FBS (I-A),4-7
vs. FCS (I-AA),1-0
vs. FBS Winning,1-6
vs. FBS Non-Winning,3-1
vs. BCS AQ,3-7
vs. BCS non-AQ,1-0
vs. FBS Power 5,3-6
vs. FBS non-Power 5,1-1
in August/September,3-1
in October,1-3
in November,1-3
in December/January,0-0
