Split,Record
All Games,7-6
at Home,3-3
on Road/Neutral Site,4-3
vs. Conference,5-3
vs. Non-Conference,2-3
vs. Ranked (AP),0-4
vs. Unranked (AP),7-2
vs. FBS (I-A),7-5
vs. FCS (I-AA),0-1
vs. FBS Winning,1-4
vs. FBS Non-Winning,6-1
vs. BCS AQ,5-5
vs. BCS non-AQ,2-0
vs. FBS Power 5,0-2
vs. FBS non-Power 5,7-3
in August/September,1-3
in October,2-2
in November,3-1
in December/January,1-0
