Split,Record
All Games,6-6
at Home,3-2
on Road/Neutral Site,3-4
vs. Conference,3-5
vs. Non-Conference,3-1
vs. Ranked (AP),0-1
vs. Unranked (AP),6-5
vs. FBS (I-A),6-6
vs. FCS (I-AA),0-0
vs. FBS Winning,2-4
vs. FBS Non-Winning,4-2
vs. BCS AQ,3-5
vs. BCS non-AQ,3-1
vs. FBS Power 5,0-0
vs. FBS non-Power 5,6-6
in August/September,2-1
in October,1-3
in November,2-1
in December/January,1-1
