Split,Record
All Games,10-3
at Home,6-0
on Road/Neutral Site,4-3
vs. Conference,6-2
vs. Non-Conference,4-1
vs. Ranked (AP),0-1
vs. Unranked (AP),10-2
vs. FBS (I-A),9-3
vs. FCS (I-AA),1-0
vs. FBS Winning,1-3
vs. FBS Non-Winning,8-0
vs. BCS AQ,6-3
vs. BCS non-AQ,3-0
vs. FBS Power 5,0-1
vs. FBS non-Power 5,9-2
in August/September,3-1
in October,3-1
in November,3-1
in December/January,1-0
