Split,Record
All Games,14-1
at Home,7-0
on Road/Neutral Site,7-1
vs. Conference,9-0
vs. Non-Conference,5-1
vs. Ranked (AP),4-1
vs. Unranked (AP),10-0
vs. FBS (I-A),13-1
vs. FCS (I-AA),1-0
vs. FBS Winning,8-1
vs. FBS Non-Winning,5-0
vs. BCS AQ,11-1
vs. BCS non-AQ,2-0
vs. FBS Power 5,11-1
vs. FBS non-Power 5,2-0
in August/September,5-0
in October,3-0
in November,4-0
in December/January,2-1
