Date,Opponent,Result,Game Time,Attendance
09/03/16,Richmond,L 20-37,3:09,49270
09/10/16,@ Oregon,L 26-44,3:30,53774
09/17/16,@ Connecticut,L 10-13,3:11,31036
09/24/16,Central Michigan,W 49-35,3:33,35211
10/01/16,@ Duke,W 34-20,3:28,25201
10/15/16,22 Pittsburgh,L 31-45,3:38,39522
10/22/16,North Carolina,L 14-35,3:27,40882
10/29/16,15 Louisville,L 25-32,3:32,34824
11/05/16,@ Wake Forest,L 20-27,3:15,25334
11/12/16,Miami (FL),L 14-34,3:07,39867
11/19/16,@ Georgia Tech,L 17-31,3:10,42136
11/26/16,@ 18 Virginia Tech,L 10-52,3:22,63120
