Split,Record
All Games,11-2
at Home,6-0
on Road/Neutral Site,5-2
vs. Conference,6-2
vs. Non-Conference,5-0
vs. Ranked (AP),1-2
vs. Unranked (AP),10-0
vs. FBS (I-A),9-2
vs. FCS (I-AA),2-0
vs. FBS Winning,4-2
vs. FBS Non-Winning,5-0
vs. BCS AQ,9-2
vs. BCS non-AQ,0-0
vs. FBS Power 5,9-2
vs. FBS non-Power 5,0-0
in August/September,5-0
in October,2-1
in November,3-1
in December/January,1-0
