Date,Opponent,Result,Game Time,Attendance
09/03/22,10 Utah,W 29-26,3:26,90799
09/10/22,Kentucky,L 16-26,3:35,89993
09/17/22,USF,W 31-28,3:28,88496
09/24/22,@ 6 Tennessee,L 33-38,3:49,101915
10/02/22,Eastern Washington,W 52-17,3:07,72462
10/08/22,Missouri,W 24-17,3:17,88471
10/15/22,16 LSU,L 35-45,3:31,90585
10/29/22,+ 1 Georgia,L 20-42,3:40,75868
11/05/22,@ Texas A&M,W 41-24,3:29,97797
11/12/22,23 South Carolina,W 38-6,3:30,89454
11/19/22,@ Vanderbilt,L 24-31,3:24,30136
11/25/22,@ 11 Florida State,L 38-45,3:53,79560
12/17/22,+ 17 Oregon State,L 3-30,3:10,29750
