column_0,Tulsa,Opponents
Scoring: Points/Game,23.4,33.8
Scoring: Games - Points,12 - 281,12 - 406
First Downs: Total,237,253
First Downs: Rushing - Passing - By Penalty,106 - 116 - 15,96 - 142 - 15
Rushing: Yards / Attempt,4.12,4.68
Rushing: Attempts - Yards - TD,527 - 2169 - 13,423 - 1978 - 24
Passing: Rating,127.04,152.39
Passing: Yards,2456,3358
Passing: Attempts - Completions - Interceptions - TD,334 - 190 - 19 - 20,388 - 250 - 10 - 24
Total Offense: Yards / Play,5.37,6.58
Total Offense: Plays - Yards,861 - 4625,811 - 5336
Punt Returns: Yards / Return,11.17,7.50
Punt Returns: Returns - Yards - TD,6 - 67 - 0,20 - 150 - 0
Kickoff Returns: Yards / Return,21.33,21.39
Kickoff Returns: Returns - Yards - TD,15 - 320 - 0,41 - 877 - 2
Punting: Yards / Punt,42.02,40.08
Punting: Punts - Yards,59 - 2479,48 - 1924
Interceptions: Returns - Yards - TD,10 - -1 - 0,19 - 137 - 2
Fumbles: Number - Lost,9 - 5,14 - 11
Penalties: Number - Yards,61 - 519,48 - 467
Time of Possession / Game,29:40.08,30:19.92
3rd Down Conversions: Conversion %,44.62%,40%
3rd Down Conversions: Attempts - Conversions,195 - 87,160 - 64
4th Down Conversions: Conversion %,43.75%,62.5%
4th Down Conversions: Attempts - Conversions,16 - 7,24 - 15
Red Zone: Success %,88.89%,85.42%
Red Zone: Attempts - Scores,45 - 40,48 - 41
Field Goals: Success %,85%,75%
Field Goals: Attempts - Made,20 - 17,16 - 12
PAT Kicking: Success %,96.8%,100%
PAT Kicking: Attempts - Made,31 - 30,48 - 48
2-Point Conversions: Success %,0%,100%
2-Point Conversions: Attempts - Made,2 - 0,4 - 4
