Split,Record
All Games,6-5
at Home,4-2
on Road/Neutral Site,2-3
vs. Conference,5-5
vs. Non-Conference,1-0
vs. Ranked (AP),0-3
vs. Unranked (AP),6-2
vs. FBS (I-A),6-5
vs. FCS (I-AA),0-0
vs. FBS Winning,1-3
vs. FBS Non-Winning,5-2
vs. BCS AQ,5-5
vs. BCS non-AQ,1-0
vs. FBS Power 5,5-5
vs. FBS non-Power 5,1-0
in August/September,2-0
in October,2-3
in November,2-1
in December/January,0-1
