column_0,Virginia,Opponents
Scoring: Points/Game,28.5,20.1
Scoring: Games - Points,13 - 370,13 - 261
First Downs: Total,276,213
First Downs: Rushing - Passing - By Penalty,136 - 124 - 16,92 - 109 - 12
Rushing: Yards / Attempt,4.51,4.34
Rushing: Attempts - Yards - TD,499 - 2252 - 19,442 - 1918 - 15
Passing: Rating,147.18,107.63
Passing: Yards,2751,2379
Passing: Attempts - Completions - Interceptions - TD,358 - 228 - 9 - 26,373 - 196 - 17 - 12
Total Offense: Yards / Play,5.84,5.27
Total Offense: Plays - Yards,857 - 5003,815 - 4297
Punt Returns: Yards / Return,6.86,3.21
Punt Returns: Returns - Yards - TD,36 - 247 - 0,14 - 45 - 1
Kickoff Returns: Yards / Return,25.44,24.96
Kickoff Returns: Returns - Yards - TD,32 - 814 - 1,24 - 599 - 1
Punting: Yards / Punt,40.96,41.89
Punting: Punts - Yards,52 - 2130,61 - 2555
Interceptions: Returns - Yards - TD,17 - 287 - 0,9 - 167 - 1
Fumbles: Number - Lost,19 - 10,12 - 4
Penalties: Number - Yards,59 - 528,71 - 638
Time of Possession / Game,32:33.62,27:26.38
3rd Down Conversions: Conversion %,49.12%,40.33%
3rd Down Conversions: Attempts - Conversions,171 - 84,181 - 73
4th Down Conversions: Conversion %,61.54%,43.48%
4th Down Conversions: Attempts - Conversions,13 - 8,23 - 10
Red Zone: Success %,74.07%,84.85%
Red Zone: Attempts - Scores,54 - 40,33 - 28
Field Goals: Success %,68.2%,76.2%
Field Goals: Attempts - Made,22 - 15,21 - 16
PAT Kicking: Success %,100%,96.2%
PAT Kicking: Attempts - Made,45 - 45,26 - 25
2-Point Conversions: Success %,100%,75%
2-Point Conversions: Attempts - Made,1 - 1,4 - 3
