Split,Record
All Games,2-10
at Home,2-4
on Road/Neutral Site,0-6
vs. Conference,1-7
vs. Non-Conference,1-3
vs. Ranked (AP),0-4
vs. Unranked (AP),2-6
vs. FBS (I-A),1-10
vs. FCS (I-AA),1-0
vs. FBS Winning,0-9
vs. FBS Non-Winning,1-1
vs. BCS AQ,1-9
vs. BCS non-AQ,0-1
vs. FBS Power 5,0-2
vs. FBS non-Power 5,1-8
in August/September,1-3
in October,0-4
in November,1-3
in December/January,0-0
