Date,Opponent,Result,Game Time,Attendance
09/04/23,20 Clemson,W 28-7,3:26,31638
09/09/23,Lafayette,W 42-7,2:53,17481
09/16/23,Northwestern,W 38-14,2:52,18141
09/23/23,@ Connecticut,W 41-7,3:20,29038
09/30/23,14 Notre Dame,L 14-21,3:21,40768
10/14/23,21 NC State,W 24-3,3:05,31833
10/21/23,@ 7 Florida State,L 20-38,3:21,79560
10/28/23,@ 19 Louisville,L 0-23,3:07,52319
11/02/23,Wake Forest,W 24-21,3:09,18277
11/11/23,@ North Carolina,L 45-47,3:46,50500
11/18/23,@ Virginia,L 27-30,3:18,36400
11/25/23,Pittsburgh,W 30-19,3:24,17639
12/23/23,+ Troy,W 17-10,3:05,20023
