Split,Record
All Games,3-9
at Home,3-4
on Road/Neutral Site,0-5
vs. Conference,0-8
vs. Non-Conference,3-1
vs. Ranked (AP),0-2
vs. Unranked (AP),3-7
vs. FBS (I-A),2-9
vs. FCS (I-AA),1-0
vs. FBS Winning,0-3
vs. FBS Non-Winning,2-6
vs. BCS AQ,2-8
vs. BCS non-AQ,0-1
vs. FBS Power 5,2-8
vs. FBS non-Power 5,0-1
in August/September,3-1
in October,0-4
in November,0-4
in December/January,0-0
