Split,Record
All Games,6-7
at Home,5-2
on Road/Neutral Site,1-5
vs. Conference,3-5
vs. Non-Conference,3-2
vs. Ranked (AP),2-5
vs. Unranked (AP),4-2
vs. FBS (I-A),5-7
vs. FCS (I-AA),1-0
vs. FBS Winning,2-6
vs. FBS Non-Winning,3-1
vs. BCS AQ,5-7
vs. BCS non-AQ,0-0
vs. FBS Power 5,4-7
vs. FBS non-Power 5,1-0
in August/September,2-2
in October,2-2
in November,2-2
in December/January,0-1
